Sats HDOP Latitude  Longitude  Fix  Date       Time     Date Alt    Course Speed Card  Distance Course Card  Chars Sentences Checksum
          (deg)     (deg)      Age                      Age  (m)    --- from GPS ----  ---- to London  ----  RX    RX        Fail
3    935  35.567028 129.351272 633  07/07/2020 04:36:23 652  -4.20  343.67 1.50  NNW   9157     331.00 NNW   13315 2         0        
3    936  35.567031 129.351318 708  07/07/2020 04:36:24 725  -3.50  258.85 4.06  W     9157     331.00 NNW   13753 4         0        
3    936  35.567031 129.351333 782  07/07/2020 04:36:25 800  -2.90  259.07 4.00  W     9157     331.00 NNW   14191 6         0        
3    936  35.567031 129.351348 861  07/07/2020 04:36:27 47   -2.50  260.52 1.22  W     9157     331.00 NNW   14840 10        0        
3    936  35.567035 129.351394 84   07/07/2020 04:36:28 144  -2.10  260.33 0.63  W     9157     331.00 NNW   15456 12        0        
5    281  35.567043 129.351852 255  07/07/2020 04:36:29 316  6.70   253.27 1.28  WSW   9157     331.01 NNW   15956 14        0        
5    281  35.567050 129.351867 353  07/07/2020 04:36:30 373  8.50   243.91 0.57  WSW   9157     331.01 NNW   16407 16        0        
5    281  35.567054 129.351867 441  07/07/2020 04:36:31 458  10.30  243.91 0.17  WSW   9157     331.01 NNW   16847 18        0        
5    281  35.567058 129.351867 502  07/07/2020 04:36:32 521  11.20  250.54 0.50  WSW   9157     331.01 NNW   17299 20        0        
5    281  35.567062 129.351882 578  07/07/2020 04:36:33 597  11.90  252.27 0.52  WSW   9157     331.01 NNW   17751 22        0        
5    281  35.567062 129.351882 650  07/07/2020 04:36:34 668  12.50  254.45 0.65  WSW   9157     331.01 NNW   18203 24        0        
8    146  35.567066 129.351882 720  07/07/2020 04:36:35 738  12.30  254.45 0.24  WSW   9157     331.01 NNW   18664 26        0        
8    146  35.567073 129.351882 802  07/07/2020 04:36:36 819  12.50  254.45 0.24  WSW   9157     331.01 NNW   19125 28        0        
8    146  35.567073 129.351882 884  07/07/2020 04:36:38 69   12.40  246.59 0.67  WSW   9157     331.01 NNW   19805 32        0        
8    146  35.567077 129.351882 106  07/07/2020 04:36:39 166  12.60  246.59 0.15  WSW   9157     331.01 NNW   20458 34        0        
8    146  35.567081 129.351882 279  07/07/2020 04:36:40 338  12.70  251.50 0.67  WSW   9157     331.01 NNW   20993 36        0        
8    146  35.567081 129.351882 382  07/07/2020 04:36:41 401  12.80  251.50 0.24  WSW   9157     331.01 NNW   21454 38        0        
8    146  35.567081 129.351882 458  07/07/2020 04:36:42 477  12.80  251.50 0.30  WSW   9157     331.01 NNW   21915 40        0        
8    146  35.567081 129.351882 520  07/07/2020 04:36:43 537  12.90  258.40 0.46  WSW   9157     331.01 NNW   22388 42        0        
8    146  35.567081 129.351882 593  07/07/2020 04:36:44 610  13.00  266.64 0.70  W     9157     331.01 NNW   22861 44        0        
8    146  35.567081 129.351882 681  07/07/2020 04:36:45 698  13.10  266.64 0.15  W     9157     331.01 NNW   23322 46        0        
8    146  35.567081 129.351882 756  07/07/2020 04:36:46 773  13.20  266.64 0.02  W     9157     331.01 NNW   23783 48        0        
8    146  35.567081 129.351882 816  07/07/2020 04:36:47 834  13.20  257.65 0.43  WSW   9157     331.01 NNW   24331 51        0        
8    146  35.567077 129.351882 61   07/07/2020 04:36:49 131  13.20  250.09 0.22  WSW   9157     331.01 NNW   24999 54        0        
8    146  35.567077 129.351882 143  07/07/2020 04:36:50 204  13.00  244.83 0.57  WSW   9157     331.01 NNW   25637 56        0        
8    146  35.567077 129.351882 337  07/07/2020 04:36:51 356  12.90  244.83 0.28  WSW   9157     331.01 NNW   26124 58        0        
8    146  35.567077 129.351882 400  07/07/2020 04:36:52 417  12.80  240.68 0.61  WSW   9157     331.01 NNW   26597 60        0        
8    146  35.567077 129.351882 485  07/07/2020 04:36:53 502  12.80  240.68 0.07  WSW   9157     331.01 NNW   27058 62        0        
8    146  35.567081 129.351882 558  07/07/2020 04:36:54 576  12.80  240.68 0.31  WSW   9157     331.01 NNW   27519 64        0        
8    146  35.567081 129.351882 622  07/07/2020 04:36:55 640  12.80  247.45 0.43  WSW   9157     331.01 NNW   27992 66        0        
8    146  35.567081 129.351882 695  07/07/2020 04:36:56 712  12.90  243.83 0.57  WSW   9157     331.01 NNW   28465 68        0        
8    146  35.567081 129.351882 783  07/07/2020 04:36:57 800  13.00  243.83 0.22  WSW   9157     331.01 NNW   28926 70        0        
8    146  35.567081 129.351882 845  07/07/2020 04:36:58 863  13.20  243.14 0.50  WSW   9157     331.01 NNW   29511 73        0        
8    146  35.567081 129.351882 108  07/07/2020 04:37:00 71   13.30  238.45 0.30  WSW   9157     331.01 NNW   30180 76        0        
8    146  35.567081 129.351882 185  07/07/2020 04:37:01 246  13.40  228.49 0.46  SW    9157     331.01 NNW   30806 78        0        
8    146  35.567085 129.351882 341  07/07/2020 04:37:02 359  13.50  225.73 0.89  SW    9157     331.01 NNW   31279 80        0        
8    147  35.567085 129.351882 417  07/07/2020 04:37:03 434  13.50  223.52 0.37  SW    9157     331.01 NNW   31752 82        0        
8    147  35.567085 129.351882 492  07/07/2020 04:37:04 510  13.60  222.35 0.35  SW    9157     331.01 NNW   32225 84        0        
9    115  35.567089 129.351882 572  07/07/2020 04:37:05 590  13.70  222.35 0.20  SW    9157     331.01 NNW   32693 86        0        
9    115  35.567089 129.351882 637  07/07/2020 04:37:06 654  13.80  233.09 0.44  SW    9157     331.01 NNW   33173 88        0        
9    115  35.567089 129.351898 724  07/07/2020 04:37:07 741  13.90  233.09 0.28  SW    9157     331.01 NNW   33641 90        0        
9    115  35.567092 129.351898 787  07/07/2020 04:37:08 805  13.80  239.58 0.35  WSW   9157     331.01 NNW   34121 92        0        
9    115  35.567096 129.351882 870  07/07/2020 04:37:10 65   13.70  241.58 0.72  WSW   9157     331.01 NNW   34818 96        0        
9    115  35.567092 129.351898 90   07/07/2020 04:37:11 150  13.70  237.24 1.07  WSW   9157     331.01 NNW   35478 98        0        
9    115  35.567089 129.351898 276  07/07/2020 04:37:12 338  13.70  233.17 1.02  SW    9157     331.01 NNW   36041 100       0        
9    115  35.567089 129.351898 379  07/07/2020 04:37:13 396  13.70  233.17 0.22  SW    9157     331.01 NNW   36509 102       0        
9    115  35.567089 129.351898 441  07/07/2020 04:37:14 460  13.70  229.62 1.43  SW    9157     331.01 NNW   36989 104       0        
9    115  35.567085 129.351898 515  07/07/2020 04:37:15 533  13.80  227.37 0.37  SW    9157     331.01 NNW   37469 106       0        
9    115  35.567085 129.351898 602  07/07/2020 04:37:16 620  13.70  227.37 0.17  SW    9157     331.01 NNW   37937 108       0        
9    115  35.567085 129.351898 664  07/07/2020 04:37:17 682  13.80  227.39 0.43  SW    9157     331.01 NNW   38417 110       0        
9    115  35.567085 129.351882 739  07/07/2020 04:37:18 758  13.80  234.09 0.48  SW    9157     331.01 NNW   38897 112       0        
9    115  35.567085 129.351882 813  07/07/2020 04:37:19 831  13.70  239.58 0.46  WSW   9157     331.01 NNW   39447 114       0        
9    115  35.567081 129.351898 53   07/07/2020 04:37:21 115  13.80  233.58 0.28  SW    9157     331.01 NNW   40120 118       0        
9    115  35.567081 129.351898 135  07/07/2020 04:37:22 195  13.80  239.99 1.04  WSW   9157     331.01 NNW   40764 120       0        
9    115  35.567081 129.351898 338  07/07/2020 04:37:23 363  13.80  239.99 0.31  WSW   9157     331.01 NNW   41273 122       0        
9    115  35.567081 129.351898 409  07/07/2020 04:37:24 426  13.90  239.99 0.30  WSW   9157     331.01 NNW   41741 124       0        
9    115  35.567081 129.351898 483  07/07/2020 04:37:25 501  14.00  239.99 0.11  WSW   9157     331.01 NNW   42209 126       0        
9    115  35.567085 129.351898 545  07/07/2020 04:37:26 563  14.10  242.35 0.43  WSW   9157     331.01 NNW   42689 128       0        
9    115  35.567085 129.351898 632  07/07/2020 04:37:27 650  14.20  242.35 0.26  WSW   9157     331.01 NNW   43157 130       0        
9    115  35.567085 129.351898 686  07/07/2020 04:37:28 705  14.30  236.82 0.37  WSW   9157     331.01 NNW   43637 132       0        
9    115  35.567089 129.351898 780  07/07/2020 04:37:29 798  14.40  236.82 0.26  WSW   9157     331.01 NNW   44105 134       0        
