Sats HDOP Latitude  Longitude  Fix  Date       Time     Date Alt    Course Speed Card  Distance Course Card  Chars Sentences Checksum
          (deg)     (deg)      Age                      Age  (m)    --- from GPS ----  ---- to London  ----  RX    RX        Fail
-------------------------------------------------------------------------------------------------------------------------------------
9    118  35.567073 129.351882 348  07/07/2020 05:10:21 367  17.50  343.04 1.07  NNW   9157     331.01 NNW   624   2         0        
9    118  35.567062 129.351882 417  07/07/2020 05:10:22 434  16.80  354.01 1.02  N     9157     331.01 NNW   1107  4         0        
9    118  35.567062 129.351882 498  07/07/2020 05:10:23 516  16.60  4.90   0.91  N     9157     331.01 NNW   1586  6         0        
9    118  35.567066 129.351882 579  07/07/2020 05:10:24 597  15.30  4.90   0.11  N     9157     331.01 NNW   2057  8         0        
9    118  35.567077 129.351882 654  07/07/2020 05:10:25 671  13.80  4.90   0.04  N     9157     331.01 NNW   2528  10        0        
9    118  35.567081 129.351882 731  07/07/2020 05:10:26 748  12.60  4.90   0.02  N     9157     331.01 NNW   2999  12        0        
9    118  35.567081 129.351882 804  07/07/2020 05:10:27 822  11.50  4.90   0.02  N     9157     331.01 NNW   3470  14        0        
9    118  35.567081 129.351867 886  07/07/2020 05:10:29 69   11.00  4.90   0.06  N     9157     331.01 NNW   4160  18        0        
9    118  35.567081 129.351867 105  07/07/2020 05:10:30 165  10.00  4.90   0.02  N     9157     331.01 NNW   4808  20        0        
9    118  35.567085 129.351867 289  07/07/2020 05:10:31 349  9.80   4.90   0.09  N     9157     331.01 NNW   5353  22        0        
9    118  35.567085 129.351867 381  07/07/2020 05:10:32 399  9.60   4.90   0.02  N     9157     331.01 NNW   5823  24        0        
9    118  35.567085 129.351867 456  07/07/2020 05:10:33 474  9.60   4.90   0.04  N     9157     331.01 NNW   6293  26        0        
9    118  35.567085 129.351867 530  07/07/2020 05:10:34 548  9.50   4.90   0.00  N     9157     331.01 NNW   6763  28        0        
9    118  35.567089 129.351867 605  07/07/2020 05:10:35 622  9.40   4.90   0.04  N     9157     331.01 NNW   7233  30        0        
9    118  35.567089 129.351867 681  07/07/2020 05:10:36 700  9.40   4.90   0.02  N     9157     331.01 NNW   7703  32        0        
9    118  35.567089 129.351867 755  07/07/2020 05:10:37 772  9.30   4.90   0.00  N     9157     331.01 NNW   8173  34        0        
9    118  35.567089 129.351867 830  07/07/2020 05:10:38 847  9.20   4.90   0.06  N     9157     331.01 NNW   8714  37        0        
9    118  35.567089 129.351867 56   07/07/2020 05:10:40 127  9.10   4.90   0.00  N     9157     331.01 NNW   9376  40        0        
9    118  35.567089 129.351867 150  07/07/2020 05:10:41 212  8.90   4.90   0.07  N     9157     331.01 NNW   10024 42        0        
9    118  35.567089 129.351867 334  07/07/2020 05:10:42 365  8.90   4.90   0.04  N     9157     331.01 NNW   10523 44        0        
9    118  35.567089 129.351867 402  07/07/2020 05:10:43 421  8.90   4.90   0.02  N     9157     331.01 NNW   10993 46        0        
9    118  35.567089 129.351867 480  07/07/2020 05:10:44 497  8.80   4.90   0.06  N     9157     331.01 NNW   11463 48        0        
9    118  35.567089 129.351867 555  07/07/2020 05:10:45 572  8.70   4.90   0.02  N     9157     331.01 NNW   11933 50        0        
9    118  35.567089 129.351867 632  07/07/2020 05:10:46 650  8.70   4.90   0.02  N     9157     331.01 NNW   12403 52        0        
9    118  35.567089 129.351867 704  07/07/2020 05:10:47 722  8.70   4.90   0.04  N     9157     331.01 NNW   12873 54        0        
9    118  35.567089 129.351867 777  07/07/2020 05:10:48 796  8.50   4.90   0.02  N     9157     331.01 NNW   13343 56        0        
9    118  35.567089 129.351867 853  07/07/2020 05:10:49 870  8.40   4.90   0.00  N     9157     331.01 NNW   13922 59        0        
9    118  35.567089 129.351867 96   07/07/2020 05:10:51 68   8.40   4.90   0.04  N     9157     331.01 NNW   14585 62        0        
9    118  35.567089 129.351867 191  07/07/2020 05:10:52 251  8.40   4.90   0.04  N     9157     331.01 NNW   15223 64        0        
9    120  35.567089 129.351867 346  07/07/2020 05:10:53 366  8.40   4.90   0.06  N     9157     331.01 NNW   15693 66        0        
9    120  35.567089 129.351867 419  07/07/2020 05:10:54 437  8.40   4.90   0.00  N     9157     331.01 NNW   16163 68        0        
9    120  35.567089 129.351867 500  07/07/2020 05:10:55 519  8.50   4.90   0.02  N     9157     331.01 NNW   16633 70        0        
9    120  35.567089 129.351867 575  07/07/2020 05:10:56 593  8.50   4.90   0.02  N     9157     331.01 NNW   17103 72        0        
9    120  35.567089 129.351867 651  07/07/2020 05:10:57 668  8.60   4.90   0.11  N     9157     331.01 NNW   17573 74        0        
9    120  35.567092 129.351867 723  07/07/2020 05:10:58 741  8.60   4.90   0.00  N     9157     331.01 NNW   18043 76        0        
9    120  35.567092 129.351867 797  07/07/2020 05:10:59 815  8.60   4.90   0.02  N     9157     331.01 NNW   18513 78        0        
9    120  35.567092 129.351867 883  07/07/2020 05:11:01 67   8.60   4.90   0.00  N     9157     331.01 NNW   19197 82        0        
9    120  35.567092 129.351867 99   07/07/2020 05:11:02 157  8.50   4.90   0.04  N     9157     331.01 NNW   19842 84        0        
9    120  35.567092 129.351867 281  07/07/2020 05:11:03 342  8.50   4.90   0.06  N     9157     331.01 NNW   20393 86        0        
9    120  35.567092 129.351867 373  07/07/2020 05:11:04 390  8.50   4.90   0.02  N     9157     331.01 NNW   20863 88        0        
