"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-47.9447817220025,
"GRC","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",55.4728650104601,
"GRC","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",8.11276758612689,
"GRC","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",-19.5205381724858,
"GRC","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",24.9906416992321,
"GRC","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-29.451990753217,
"GRC","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-59.04,
"HUN","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",31.2603436833803,
"HUN","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",-0.913405809466894,
"HUN","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",7.28633781431844,
"HUN","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",-4.49108559797572,
"HUN","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-3.47188819835245,
"HUN","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-65,
"ISL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",-60.6352753187928,
"ISL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",154.667797523864,
"ISL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",0.634987670680963,
"ISL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",-15.0812686566156,
"ISL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-44.3008350729425,
"ISL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-41.0456629369316,
"IRL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",-61.319946829166,
"IRL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",9271.3379175611,
"IRL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",-97.931077785893,
"IRL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",4078.58927162247,
"IRL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-0.0135377555070412,
"IRL","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-56.953279,
"ITA","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",8.26431470195647,
"ITA","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",-1.39704571513232,
"ITA","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",0.728035469474467,
"ITA","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",-2.03158928557916,
"ITA","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-28.8207540234967,
"ITA","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-70.013424,
"JPN","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",1.41854695580224,
"JPN","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",3.66705290372425,
"JPN","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",2.02013666615869,
"JPN","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",-12.6606220575866,
"JPN","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",-3.97390015758075,
"JPN","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-21.702980578693,
"KOR","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",-9.65481448489759,
"KOR","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",9.61239772221415,
"KOR","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q3",-10.3915962815843,
"KOR","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q4",20.3749069679312,
"KOR","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q1",1.88657235174608,
"KOR","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2020-Q2",-17.0701404489473,
"LUX","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q1",3.76393926410407,
"LUX","GFCFFORECAST","DOUBLEHIT","AGRWTH","Q","2019-Q2",4.22544990505459,
